1.34,-0.58,11.55,-0.12,0.04,-0.02,53.876,
1.05,-0.80,11.42,-0.10,0.03,-0.02,53.885,
1.14,-0.74,11.31,-0.11,0.03,-0.02,53.89
1.34,-0.58,11.55,-0.12,0.04,-0.02,53.876,
1.05,-0.80,11.42,-0.10,0.03,-0.02,53.885,
1.14,-0.74,11.31,-0.11,0.03,-0.02,53.896,
1.25,-0.64,11.30,-0.10,0.03,-0.02,53.896,
1.40,-0.55,11.03,-0.11,0.03,-0.02,53.895,
1.09,-0.70,11.26,-0.11,0.03,-0.02,53.886,
1.28,-0.64,11.10,-0.11,0.02,-0.02,53.897,
1.41,-0.57,11.31,-0.11,0.03,-0.02,53.906,
1.46,-0.57,11.23,-0.11,0.03,-0.02,53.905,
1.34,-0.40,11.21,-0.11,0.03,-0.02,53.906,
1.21,-0.49,11.28,-0.11,0.03,-0.02,53.896,
1.10,-0.54,11.39,-0.11,0.03,-0.02,53.885,
1.15,-0.60,11.31,-0.11,0.02,-0.02,53.876,
1.26,-0.43,11.22,-0.11,0.02,-0.02,53.857,
1.24,-0.44,11.20,-0.11,0.02,-0.02,53.866,
1.19,-0.62,11.30,-0.11,0.02,-0.02,53.875,
1.14,-0.64,11.24,-0.11,0.02,-0.02,53.846,
1.13,-0.54,11.11,-0.11,0.02,-0.02,53.836,
1.24,-0.50,11.35,-0.11,0.03,-0.02,53.856,
1.25,-0.41,11.18,-0.11,0.03,-0.02,53.875,
1.19,-0.35,11.27,-0.11,0.03,-0.02,53.867,
1.19,-0.56,11.38,-0.11,0.03,-0.02,53.856,
1.08,-0.59,11.44,-0.11,0.03,-0.02,53.845,
1.21,-0.62,11.43,-0.11,0.02,-0.02,53.816,
1.13,-0.56,11.33,-0.11,0.02,-0.02,53.836,
1.35,-0.54,11.30,-0.11,0.03,-0.02,53.836,
1.40,-0.66,11.38,-0.11,0.03,-0.02,53.865,
1.22,-0.66,11.34,-0.11,0.03,-0.02,53.886,
1.24,-0.59,11.38,-0.11,0.03,-0.02,53.867,
1.37,-0.66,11.42,-0.11,0.03,-0.02,53.825,
1.35,-0.61,11.34,-0.11,0.03,-0.02,53.836,
1.24,-0.64,11.25,-0.11,0.03,-0.02,53.826,
1.23,-0.62,11.27,-0.11,0.03,-0.02,53.826,
1.18,-0.55,11.40,-0.11,0.03,-0.02,53.805,
1.26,-0.52,11.31,-0.11,0.03,-0.02,53.836,
1.10,-0.53,11.34,-0.11,0.03,-0.02,53.807,
1.07,-0.67,11.34,-0.10,0.03,-0.02,53.816,
1.14,-0.64,11.32,-0.10,0.03,-0.02,53.805,
1.21,-0.60,11.43,-0.10,0.03,-0.02,53.796,
1.16,-0.67,11.38,-0.11,0.03,-0.02,53.816,
1.15,-0.64,11.36,-0.11,0.02,-0.02,53.805,
1.30,-0.64,11.30,-0.11,0.02,-0.02,53.776,
1.28,-0.53,11.33,-0.10,0.02,-0.02,53.777,
1.22,-0.54,11.24,-0.11,0.02,-0.02,53.786,
1.21,-0.45,11.40,-0.11,0.02,-0.02,53.785,
1.29,-0.51,11.39,-0.11,0.02,-0.02,53.786,
1.32,-0.47,11.35,-0.10,0.02,-0.02,53.806,
1.42,-0.56,11.43,-0.11,0.02,-0.02,53.785,
1.38,-0.49,11.43,-0.11,0.02,-0.02,53.806,
1.17,-0.51,11.27,-0.11,0.02,-0.02,53.816,
1.10,-0.49,11.29,-0.11,0.02,-0.02,53.797,
1.16,-0.49,11.25,-0.11,0.02,-0.02,53.785,
1.21,-0.51,11.27,-0.10,0.02,-0.02,53.776,
1.31,-0.50,11.35,-0.11,0.02,-0.02,53.796,
1.24,-0.55,11.35,-0.11,0.02,-0.02,53.785,
1.13,-0.62,11.53,-0.11,0.02,-0.02,53.786,
1.13,-0.69,11.32,-0.11,0.02,-0.02,53.776,
1.13,-0.64,11.24,-0.11,0.02,-0.02,53.767,
1.08,-0.58,11.31,-0.11,0.02,-0.02,53.755,
1.10,-0.59,11.39,-0.11,0.02,-0.02,53.766,
1.19,-0.60,11.37,-0.11,0.02,-0.02,53.776,
1.13,-0.61,11.14,-0.11,0.03,-0.02,53.765,
1.19,-0.56,11.40,-0.11,0.03,-0.02,53.756,
1.29,-0.58,11.32,-0.11,0.03,-0.02,53.766,
1.28,-0.61,11.35,-0.11,0.03,-0.02,53.767,
1.27,-0.69,11.31,-0.11,0.03,-0.02,53.755,
1.35,-0.62,11.39,-0.11,0.03,-0.02,53.766,
1.33,-0.68,11.49,-0.11,0.03,-0.02,53.746,
1.16,-0.59,11.28,-0.11,0.03,-0.02,53.746,
1.25,-0.46,11.30,-0.11,0.03,-0.02,53.755,
1.16,-0.47,11.38,-0.11,0.03,-0.02,53.766,
1.21,-0.58,11.31,-0.11,0.03,-0.02,53.777,
1.25,-0.59,11.28,-0.11,0.03,-0.02,53.755,
1.18,-0.44,11.31,-0.11,0.03,-0.02,53.746,
1.13,-0.66,11.26,-0.10,0.03,-0.02,53.746,
1.05,-0.64,11.42,-0.11,0.03,-0.02,53.756,
1.12,-0.45,11.42,-0.11,0.02,-0.02,53.745,
1.05,-0.57,11.61,-0.11,0.03,-0.02,53.746,
1.03,-0.58,11.42,-0.11,0.02,-0.02,53.746,
1.21,-0.49,11.41,-0.11,0.02,-0.02,53.747,
1.27,-0.48,11.39,-0.11,0.02,-0.02,53.745,
1.25,-0.51,11.43,-0.11,0.02,-0.02,53.736,
1.21,-0.53,11.48,-0.11,0.02,-0.02,53.726,
1.15,-0.63,11.39,-0.11,0.02,-0.02,53.745,
1.05,-0.66,11.43,-0.11,0.02,-0.02,53.736,
1.08,-0.63,11.39,-0.10,0.02,-0.02,53.736,
1.20,-0.72,11.31,-0.11,0.02,-0.02,53.727,
1.25,-0.69,11.24,-0.10,0.02,-0.02,53.745,
1.34,-0.61,11.27,-0.11,0.02,-0.02,53.736,
1.29,-0.52,11.18,-0.11,0.02,-0.02,53.746,
1.16,-0.53,11.23,-0.11,0.02,-0.02,53.745,
1.13,-0.53,11.16,-0.10,0.02,-0.02,53.746,
1.06,-0.57,11.12,-0.11,0.03,-0.02,53.746,
1.02,-0.54,11.20,-0.11,0.02,-0.02,53.757,
1.21,-0.56,11.20,-0.11,0.02,-0.02,53.735,
1.23,-0.52,11.28,-0.11,0.02,-0.02,53.746,
1.22,-0.50,11.24,-0.11,0.03,-0.02,53.726,
1.19,-0.45,11.29,-0.11,0.03,-0.02,53.735,
1.01,-0.35,11.26,-0.11,0.03,-0.02,53.736,
1.14,-0.36,11.20,-0.11,0.03,-0.02,53.736,
1.00,-0.43,11.35,-0.11,0.03,-0.02,53.747,
1.06,-0.51,11.37,-0.11,0.03,-0.02,53.745,
1.10,-0.51,11.40,-0.11,0.03,-0.02,53.726,
1.06,-0.54,11.37,-0.11,0.03,-0.02,53.716,
1.13,-0.57,11.24,-0.11,0.02,-0.02,53.716,
1.07,-0.62,11.22,-0.11,0.02,-0.02,53.725,
1.06,-0.62,11.33,-0.11,0.02,-0.02,53.706,
1.12,-0.68,11.25,-0.11,0.02,-0.02,53.716,
1.18,-0.62,11.28,-0.11,0.02,-0.02,53.726,
1.23,-0.73,11.18,-0.11,0.02,-0.02,53.726,
1.27,-0.74,11.26,-0.11,0.03,-0.02,53.726,
1.34,-0.62,11.27,-0.11,0.03,-0.02,53.726,
1.25,-0.64,11.45,-0.11,0.03,-0.02,53.725,
1.21,-0.82,11.64,-0.11,0.01,-0.02,53.726,
1.11,-0.97,11.42,-0.11,0.00,-0.02,53.716,
1.19,-0.80,11.49,-0.11,0.00,-0.02,53.706,
1.17,-0.87,11.45,-0.11,-0.01,-0.02,53.696,
1.08,-0.83,11.32,-0.11,-0.02,-0.03,53.716,
1.21,-0.76,11.20,-0.11,-0.01,-0.03,53.706,
1.52,-0.74,11.09,-0.10,0.00,-0.03,53.695,
1.51,-0.58,11.06,-0.10,0.02,-0.02,53.706,
1.28,-0.74,11.25,-0.10,0.03,-0.02,53.706,
1.27,-0.70,11.19,-0.11,0.04,-0.02,53.717,
1.53,-0.77,11.26,-0.11,0.06,-0.02,53.695,
1.51,-0.60,11.16,-0.11,0.07,-0.02,53.706,
1.36,-0.55,11.14,-0.11,0.08,-0.02,53.706,
1.28,-0.50,11.29,-0.11,0.09,-0.02,53.705,
1.05,-0.57,11.33,-0.11,0.09,-0.02,53.706,
1.10,-0.64,11.34,-0.11,0.08,-0.02,53.686,
1.01,-0.50,11.28,-0.11,0.07,-0.02,53.696,
1.02,-0.51,11.47,-0.11,0.07,-0.02,53.706,
1.16,-0.44,11.46,-0.11,0.05,-0.02,53.706,
